study_minutes,workout_minutes,entertainment_minutes,scrolling_minutes,sleep_minutes,mood,label
71,54,102,165,442,Happy,Leisure
153,58,48,112,439,Tired,Productive
57,59,99,123,324,Neutral,Leisure
125,3,227,112,364,Happy,Leisure
157,62,112,33,357,Neutral,Productive
142,45,219,40,370,Tired,Leisure
148,57,94,95,334,Neutral,Productive
25,16,163,27,450,Happy,Leisure
44,86,142,178,459,Happy,Leisure
50,30,18,179,410,Tired,Leisure
30,11,219,138,434,Happy,Leisure
116,53,150,66,445,Energetic,Leisure
161,37,40,37,381,Energetic,Productive
122,60,18,5,433,Energetic,Productive
19,72,179,73,381,Neutral,Leisure
129,67,100,121,454,Energetic,Leisure
107,83,221,52,448,Energetic,Leisure
101,40,185,40,457,Energetic,Leisure
170,54,54,93,403,Tired,Productive
142,20,173,124,396,Sad,Leisure
10,11,113,31,334,Happy,Leisure
2,9,121,9,376,Sad,Leisure
1,2,140,154,367,Energetic,Leisure
119,11,124,74,411,Energetic,Leisure
63,7,112,121,428,Energetic,Leisure
119,42,164,166,397,Energetic,Leisure
68,68,232,12,479,Happy,Leisure
117,21,55,126,313,Tired,Leisure
114,89,14,107,428,Happy,Productive
40,11,70,140,454,Sad,Leisure
63,71,129,117,391,Happy,Leisure
70,61,26,44,308,Happy,Productive
164,42,182,96,408,Sad,Leisure
28,12,233,86,380,Energetic,Leisure
171,44,223,16,480,Sad,Leisure
96,9,10,133,451,Energetic,Leisure
64,81,130,129,359,Tired,Leisure
44,74,110,163,439,Happy,Leisure
42,2,96,111,325,Energetic,Leisure
128,23,52,49,413,Tired,Productive
32,57,179,67,472,Happy,Leisure
52,71,162,59,395,Sad,Leisure
61,85,24,131,344,Neutral,Leisure
173,79,238,90,414,Energetic,Leisure
13,25,141,111,434,Neutral,Leisure
37,12,85,47,452,Happy,Leisure
154,80,162,3,408,Energetic,Productive
58,2,165,86,408,Tired,Leisure
80,81,229,0,312,Happy,Leisure
140,29,1,160,307,Sad,Productive
165,27,215,32,304,Tired,Leisure
110,84,2,49,386,Happy,Productive
147,15,30,144,449,Sad,Leisure
148,32,12,46,415,Sad,Productive
11,59,1,76,403,Happy,Leisure
130,71,231,93,446,Sad,Leisure
14,36,58,19,467,Happy,Leisure
10,74,104,25,399,Neutral,Leisure
123,52,83,172,397,Energetic,Leisure
101,68,141,10,383,Tired,Productive
114,48,222,20,449,Neutral,Leisure
98,50,115,126,480,Tired,Leisure
98,45,91,18,316,Energetic,Productive
15,70,115,87,304,Neutral,Leisure
99,58,49,49,478,Sad,Productive
152,66,62,133,414,Happy,Productive
136,12,151,128,354,Neutral,Leisure
38,85,93,26,355,Energetic,Productive
44,16,228,46,308,Tired,Leisure
88,35,230,138,412,Sad,Leisure
83,12,20,11,407,Tired,Productive
31,46,110,141,310,Neutral,Leisure
136,15,13,26,453,Neutral,Productive
23,87,212,55,371,Neutral,Leisure
87,69,88,161,415,Happy,Leisure
170,1,165,101,467,Tired,Leisure
175,21,157,111,370,Tired,Leisure
46,9,217,158,338,Tired,Leisure
174,82,215,147,464,Sad,Leisure
94,88,52,64,398,Neutral,Productive
0,30,149,94,416,Happy,Leisure
133,66,28,7,407,Sad,Productive
114,0,55,31,330,Energetic,Productive
13,43,132,18,464,Happy,Leisure
145,21,163,103,444,Neutral,Leisure
149,56,7,15,380,Energetic,Productive
57,74,62,81,385,Neutral,Leisure
85,29,129,37,446,Neutral,Leisure
158,24,145,82,471,Happy,Leisure
30,13,123,47,392,Energetic,Leisure
133,41,61,138,413,Happy,Leisure
61,87,6,72,457,Energetic,Productive
137,39,125,48,333,Neutral,Productive
88,56,77,138,333,Happy,Leisure
31,20,136,158,404,Neutral,Leisure
26,20,53,74,302,Sad,Leisure
171,29,212,14,392,Neutral,Leisure
33,67,52,131,332,Neutral,Leisure
51,61,16,41,327,Neutral,Productive
7,43,55,17,433,Tired,Leisure
68,52,179,107,479,Tired,Leisure
14,80,80,180,396,Tired,Leisure
157,79,145,170,474,Tired,Leisure
116,62,186,52,437,Neutral,Leisure
130,29,78,44,473,Energetic,Productive
170,81,91,5,352,Energetic,Productive
178,82,43,18,477,Happy,Productive
98,24,25,157,381,Happy,Leisure
28,60,153,96,348,Tired,Leisure
92,13,235,62,326,Tired,Leisure
88,90,122,106,368,Happy,Leisure
6,57,163,129,437,Sad,Leisure
108,89,81,84,437,Sad,Productive
66,4,139,70,446,Sad,Leisure
75,38,178,154,427,Tired,Leisure
32,36,107,137,467,Neutral,Leisure
140,41,203,62,424,Neutral,Leisure
