study_minutes,workout_minutes,entertainment_minutes,scrolling_minutes,sleep_minutes,mood,label
30,75,225,4,480,Happy,Leisure
41,24,201,110,464,Neutral,Leisure
73,14,11,101,315,Energetic,Leisure
130,64,187,120,441,Tired,Leisure
41,52,89,93,365,Sad,Leisure
173,17,48,77,372,Tired,Productive
134,63,239,110,411,Sad,Leisure
149,32,26,11,434,Happy,Productive
127,76,86,170,351,Energetic,Leisure
107,1,19,164,392,Happy,Leisure
53,83,225,58,412,Neutral,Leisure
174,14,2,123,413,Neutral,Productive
119,50,55,126,341,Tired,Leisure
125,17,124,29,423,Neutral,Leisure
88,90,117,121,479,Energetic,Leisure
117,17,179,137,425,Happy,Leisure
170,9,178,69,468,Neutral,Leisure
163,86,226,146,438,Tired,Leisure
176,14,161,26,344,Happy,Productive
52,49,170,20,330,Neutral,Leisure
131,39,29,92,413,Sad,Productive
53,48,42,171,419,Happy,Leisure
37,34,211,122,365,Tired,Leisure
115,50,236,132,346,Happy,Leisure
32,67,206,118,310,Energetic,Leisure
36,70,136,162,315,Neutral,Leisure
119,28,14,69,321,Neutral,Productive
91,37,99,137,351,Neutral,Leisure
82,4,171,8,351,Energetic,Leisure
59,82,18,78,429,Tired,Productive
158,40,44,105,469,Sad,Productive
14,34,110,6,370,Happy,Leisure
25,14,128,15,456,Tired,Leisure
21,81,115,33,417,Tired,Leisure
107,90,42,31,391,Sad,Productive
82,6,90,120,338,Happy,Leisure
79,86,10,137,380,Neutral,Productive
159,76,47,52,376,Tired,Productive
37,56,112,68,404,Energetic,Leisure
132,11,78,126,364,Happy,Leisure
3,2,197,28,367,Energetic,Leisure
166,55,30,63,324,Neutral,Productive
122,19,24,99,472,Tired,Productive
131,57,87,175,399,Energetic,Leisure
11,27,125,59,461,Tired,Leisure
110,5,202,153,304,Neutral,Leisure
96,88,145,5,433,Happy,Productive
73,89,4,151,449,Neutral,Productive
144,25,226,3,400,Energetic,Leisure
24,30,2,96,317,Neutral,Leisure
65,74,91,12,336,Happy,Productive
43,57,98,104,457,Neutral,Leisure
96,84,195,129,431,Neutral,Leisure
113,11,117,29,419,Happy,Leisure
46,22,187,135,306,Neutral,Leisure
3,85,17,67,306,Energetic,Productive
95,86,127,79,408,Neutral,Leisure
128,85,214,108,352,Neutral,Leisure
59,77,230,43,479,Sad,Leisure
60,85,106,176,463,Happy,Leisure
124,24,10,178,378,Tired,Leisure
109,41,71,1,350,Energetic,Productive
11,10,166,111,406,Sad,Leisure
29,67,102,55,351,Neutral,Leisure
44,73,167,44,363,Neutral,Leisure
102,34,224,104,379,Sad,Leisure
180,52,119,32,395,Sad,Productive
55,75,62,81,367,Sad,Leisure
25,34,158,71,387,Sad,Leisure
122,61,167,110,395,Tired,Leisure
150,1,115,51,477,Happy,Leisure
109,37,27,78,376,Energetic,Productive
18,83,100,111,432,Sad,Leisure
27,88,236,121,444,Sad,Leisure
54,78,57,8,314,Sad,Productive
32,4,200,54,333,Happy,Leisure
104,2,102,38,471,Energetic,Leisure
80,44,93,40,310,Neutral,Leisure
137,11,170,5,305,Tired,Leisure
27,54,202,130,414,Neutral,Leisure
165,15,195,106,473,Neutral,Leisure
65,72,186,82,446,Tired,Leisure
39,0,127,109,301,Energetic,Leisure
5,78,75,127,458,Energetic,Leisure
167,13,188,32,442,Neutral,Leisure
17,22,56,167,320,Sad,Leisure
97,13,173,1,321,Neutral,Leisure
114,86,134,127,336,Sad,Leisure
161,87,164,119,307,Energetic,Leisure
129,58,111,94,395,Neutral,Leisure
164,19,157,171,451,Tired,Leisure
118,56,139,171,379,Neutral,Leisure
60,28,5,101,345,Happy,Leisure
57,50,217,143,336,Energetic,Leisure
80,19,140,92,394,Sad,Leisure
173,58,192,130,441,Neutral,Leisure
64,31,99,86,437,Tired,Leisure
87,33,200,78,373,Energetic,Leisure
172,80,5,162,308,Tired,Productive
51,1,210,116,448,Energetic,Leisure
58,76,151,64,319,Energetic,Leisure
27,90,117,146,432,Neutral,Leisure
92,35,201,65,303,Energetic,Leisure
6,48,43,151,406,Energetic,Leisure
142,15,147,12,315,Happy,Leisure
116,45,186,23,372,Happy,Leisure
5,37,49,38,346,Neutral,Leisure
161,85,6,13,389,Energetic,Productive
17,13,114,64,471,Energetic,Leisure
27,37,184,139,382,Tired,Leisure
103,25,219,103,469,Tired,Leisure
90,29,81,95,418,Sad,Leisure
109,88,182,165,360,Energetic,Leisure
156,12,28,41,420,Sad,Productive
37,24,199,61,405,Sad,Leisure
114,77,4,0,386,Sad,Productive
70,28,7,99,468,Happy,Leisure
176,62,228,35,462,Neutral,Leisure
98,86,104,155,369,Happy,Leisure
32,14,49,45,462,Happy,Leisure
79,9,211,163,382,Tired,Leisure
86,55,153,167,304,Tired,Leisure
141,82,69,87,468,Tired,Productive
163,77,0,21,468,Happy,Productive
97,76,237,13,364,Happy,Leisure
143,35,151,163,437,Neutral,Leisure
178,2,87,90,428,Tired,Productive
162,32,186,102,445,Happy,Leisure
20,76,71,131,312,Energetic,Leisure
88,8,221,144,307,Happy,Leisure
87,12,75,89,461,Neutral,Leisure
151,90,155,121,371,Happy,Leisure
1,39,0,177,461,Tired,Leisure
103,58,112,89,383,Tired,Leisure
171,15,82,55,456,Happy,Productive
47,30,42,154,301,Happy,Leisure
124,68,185,94,314,Sad,Leisure
165,11,53,99,464,Sad,Productive
33,48,95,168,470,Tired,Leisure
127,60,30,70,392,Tired,Productive
174,87,20,24,410,Energetic,Productive
11,6,63,153,471,Happy,Leisure
143,63,21,121,445,Tired,Productive
147,50,83,27,338,Sad,Productive
59,55,7,31,397,Sad,Productive
2,67,238,66,382,Energetic,Leisure
90,12,186,21,406,Sad,Leisure
93,19,9,114,338,Tired,Leisure
6,52,106,25,307,Neutral,Leisure
49,81,47,1,451,Sad,Productive
100,79,59,114,301,Neutral,Productive
175,15,158,52,418,Neutral,Leisure
46,78,69,92,395,Neutral,Leisure
163,68,214,71,441,Energetic,Leisure
168,54,36,2,443,Neutral,Productive
70,27,238,176,444,Neutral,Leisure
115,11,102,113,354,Sad,Leisure
171,65,86,109,367,Tired,Productive
43,17,199,44,406,Happy,Leisure
87,4,52,175,425,Energetic,Leisure
170,31,198,168,391,Tired,Leisure
53,68,185,11,336,Tired,Leisure
175,83,46,44,456,Energetic,Productive
121,52,111,107,384,Tired,Leisure
105,43,78,7,365,Neutral,Productive
23,8,173,23,320,Tired,Leisure
94,80,74,105,327,Neutral,Leisure
45,42,150,33,339,Tired,Leisure
124,11,209,104,415,Happy,Leisure
100,69,10,108,448,Tired,Productive
174,46,211,41,359,Energetic,Leisure
136,14,11,160,441,Tired,Leisure
18,41,82,126,368,Sad,Leisure
60,66,193,171,433,Tired,Leisure
12,81,185,127,401,Happy,Leisure
92,41,159,55,372,Neutral,Leisure
73,75,7,148,461,Sad,Leisure
163,78,190,117,388,Energetic,Leisure
27,22,38,72,468,Sad,Leisure
58,10,168,32,438,Energetic,Leisure
79,21,199,139,431,Neutral,Leisure
16,27,227,44,416,Tired,Leisure
124,28,125,51,387,Energetic,Leisure
131,35,124,93,404,Energetic,Leisure
168,53,34,107,420,Sad,Productive
116,41,39,108,476,Energetic,Productive
54,59,42,170,350,Sad,Leisure
43,12,39,20,370,Happy,Leisure
27,10,129,141,338,Tired,Leisure
78,89,240,6,324,Neutral,Leisure
112,57,184,114,411,Energetic,Leisure
32,34,142,41,379,Tired,Leisure
13,66,35,101,440,Happy,Leisure
39,50,212,65,389,Tired,Leisure
105,20,152,105,346,Neutral,Leisure
148,27,144,100,320,Tired,Leisure
121,10,58,79,397,Happy,Leisure
111,1,173,112,440,Happy,Leisure
124,88,113,108,378,Happy,Leisure
161,18,203,123,334,Happy,Leisure
118,83,9,124,375,Happy,Productive
121,9,207,110,317,Neutral,Leisure
78,90,173,65,341,Neutral,Leisure
105,55,60,19,384,Tired,Productive
107,48,83,155,419,Sad,Leisure
29,37,208,119,422,Happy,Leisure
76,84,143,169,394,Happy,Leisure
77,22,153,53,446,Sad,Leisure
61,26,96,142,348,Happy,Leisure
132,83,39,43,332,Tired,Productive
5,80,149,2,313,Tired,Leisure
46,65,224,118,332,Neutral,Leisure
84,50,145,31,366,Energetic,Leisure
119,63,178,80,444,Neutral,Leisure
142,72,28,14,408,Tired,Productive
70,65,135,2,441,Tired,Leisure
35,55,115,169,343,Sad,Leisure
73,71,60,112,348,Happy,Leisure
39,42,53,91,323,Energetic,Leisure
21,34,103,123,320,Tired,Leisure
111,66,93,93,351,Sad,Leisure
57,55,16,163,378,Sad,Leisure
178,84,131,57,466,Neutral,Productive
0,0,81,160,373,Happy,Leisure
172,69,65,79,324,Sad,Productive
156,46,56,84,442,Energetic,Productive
168,82,36,131,437,Neutral,Productive
91,52,79,69,402,Tired,Leisure
152,44,105,91,398,Happy,Leisure
171,29,50,80,418,Tired,Productive
11,24,113,179,425,Happy,Leisure
119,18,137,3,300,Tired,Leisure
173,27,98,98,361,Happy,Productive
52,56,233,97,353,Happy,Leisure
94,2,214,178,389,Happy,Leisure
165,20,225,43,424,Happy,Leisure
140,24,85,50,370,Happy,Productive
137,13,183,100,300,Neutral,Leisure
48,5,216,109,422,Tired,Leisure
156,41,221,42,429,Tired,Leisure
98,75,4,88,314,Sad,Productive
139,64,76,160,435,Happy,Leisure
62,62,197,73,327,Neutral,Leisure
64,45,67,86,310,Happy,Leisure
64,57,35,13,454,Happy,Productive
92,72,21,154,402,Happy,Leisure
19,87,118,172,416,Energetic,Leisure
154,72,234,10,350,Neutral,Leisure
103,68,114,104,349,Energetic,Leisure
3,59,2,67,402,Happy,Leisure
159,72,169,102,367,Neutral,Leisure
150,33,151,82,460,Sad,Leisure
93,84,111,33,469,Sad,Productive
152,58,75,35,473,Neutral,Productive
39,56,150,147,324,Neutral,Leisure
165,33,45,146,384,Happy,Productive
29,49,122,69,446,Energetic,Leisure
116,79,154,96,330,Tired,Leisure
82,42,189,103,441,Tired,Leisure
116,0,75,6,429,Neutral,Productive
70,75,106,51,475,Tired,Leisure
55,15,25,33,445,Energetic,Productive
93,63,192,44,351,Sad,Leisure
119,42,35,174,392,Tired,Leisure
153,21,87,19,389,Neutral,Productive
175,47,190,73,465,Neutral,Leisure
135,23,42,85,326,Tired,Productive
53,9,185,114,307,Energetic,Leisure
48,30,9,34,334,Energetic,Productive
88,70,129,148,329,Tired,Leisure
147,39,232,162,396,Neutral,Leisure
98,26,49,140,441,Tired,Leisure
105,74,158,107,469,Neutral,Leisure
124,24,4,21,320,Neutral,Productive
16,59,6,103,440,Neutral,Leisure
52,2,209,91,314,Tired,Leisure
118,27,89,45,316,Happy,Productive
180,45,169,165,331,Happy,Leisure
139,20,75,55,475,Sad,Productive
51,87,37,15,368,Happy,Productive
89,52,113,160,337,Tired,Leisure
110,44,91,81,464,Neutral,Leisure
67,75,227,39,468,Tired,Leisure
108,28,83,6,448,Sad,Productive
6,67,217,93,344,Tired,Leisure
162,85,180,37,430,Tired,Productive
36,9,126,17,463,Energetic,Leisure
38,57,108,146,458,Happy,Leisure
49,13,227,144,377,Sad,Leisure
7,83,191,42,379,Energetic,Leisure
49,89,127,119,308,Sad,Leisure
51,22,149,6,378,Sad,Leisure
1,32,106,134,368,Sad,Leisure
162,20,130,48,346,Neutral,Productive
76,26,222,162,467,Neutral,Leisure
102,7,166,149,472,Tired,Leisure
13,28,230,168,375,Energetic,Leisure
39,18,76,149,419,Neutral,Leisure
146,65,26,166,301,Energetic,Productive
15,47,52,120,388,Sad,Leisure
22,33,173,31,319,Happy,Leisure
175,55,28,140,351,Happy,Productive
103,79,136,178,324,Neutral,Leisure
23,6,69,123,462,Neutral,Leisure
19,25,92,134,411,Happy,Leisure
86,56,208,161,472,Tired,Leisure
23,87,182,176,422,Tired,Leisure
16,0,193,168,320,Sad,Leisure
165,58,203,70,356,Tired,Leisure
97,44,173,28,305,Happy,Leisure
91,57,213,82,469,Sad,Leisure
70,40,36,34,343,Sad,Productive
127,6,28,72,457,Happy,Productive
10,43,69,6,340,Neutral,Leisure
109,34,142,10,399,Tired,Leisure
49,75,111,67,416,Tired,Leisure
127,49,18,64,407,Neutral,Productive
151,45,41,23,396,Neutral,Productive
147,54,187,70,365,Happy,Leisure
81,41,67,151,417,Neutral,Leisure
155,49,43,68,471,Sad,Productive
40,44,169,81,332,Sad,Leisure
158,13,155,64,423,Tired,Leisure
132,76,190,124,368,Happy,Leisure
125,71,74,50,369,Happy,Productive
2,77,78,34,352,Happy,Leisure
149,45,216,1,414,Energetic,Leisure
53,46,116,124,465,Energetic,Leisure
43,23,69,170,421,Energetic,Leisure
36,81,220,138,329,Neutral,Leisure
163,38,92,155,340,Neutral,Leisure
103,59,168,136,337,Sad,Leisure
178,62,169,121,471,Happy,Leisure
14,76,198,65,450,Neutral,Leisure
112,86,218,52,409,Neutral,Leisure
70,49,201,18,442,Neutral,Leisure
81,40,140,178,300,Sad,Leisure
141,46,27,56,330,Energetic,Productive
179,48,231,112,468,Sad,Leisure
99,74,98,159,420,Tired,Leisure
112,83,137,71,380,Sad,Leisure
42,4,170,75,404,Happy,Leisure
2,16,7,117,390,Sad,Leisure
11,26,89,145,305,Neutral,Leisure
70,18,39,108,322,Neutral,Leisure
91,43,195,46,359,Happy,Leisure
38,22,238,163,364,Sad,Leisure
70,8,42,136,361,Neutral,Leisure
29,66,98,25,316,Happy,Leisure
83,36,24,50,398,Sad,Productive
4,29,58,130,347,Tired,Leisure
77,21,222,140,344,Tired,Leisure
100,47,121,44,455,Happy,Leisure
115,29,39,22,450,Happy,Productive
70,20,29,88,428,Energetic,Leisure
39,0,97,113,335,Tired,Leisure
82,31,42,180,441,Happy,Leisure
98,58,5,111,468,Sad,Productive
134,7,179,155,430,Energetic,Leisure
129,44,192,61,404,Neutral,Leisure
32,61,240,57,409,Tired,Leisure
84,42,79,74,375,Tired,Leisure
147,31,224,139,345,Energetic,Leisure
47,21,87,95,462,Sad,Leisure
46,1,110,170,432,Sad,Leisure
23,16,88,157,405,Happy,Leisure
119,25,229,18,331,Tired,Leisure
138,62,155,176,374,Happy,Leisure
32,64,150,22,459,Neutral,Leisure
38,34,203,146,365,Neutral,Leisure
145,27,107,142,342,Sad,Leisure
92,32,110,179,406,Tired,Leisure
127,63,205,147,411,Tired,Leisure
86,83,134,128,355,Happy,Leisure
88,38,121,13,450,Energetic,Leisure
14,64,54,81,459,Sad,Leisure
171,79,149,66,476,Tired,Productive
6,51,236,36,453,Energetic,Leisure
72,87,105,16,413,Energetic,Productive
33,57,4,82,434,Tired,Productive
163,53,0,116,387,Tired,Productive
173,20,121,76,428,Neutral,Leisure
58,22,28,139,303,Sad,Leisure
146,59,179,2,306,Energetic,Productive
25,50,32,135,374,Happy,Leisure
130,89,72,56,334,Happy,Productive
168,41,17,120,423,Tired,Productive
18,37,14,112,407,Energetic,Leisure
30,28,75,151,391,Tired,Leisure
26,50,158,126,447,Energetic,Leisure
37,81,220,126,473,Sad,Leisure
132,36,21,52,393,Energetic,Productive
167,33,27,5,380,Happy,Productive
13,65,192,152,459,Neutral,Leisure
84,58,134,55,407,Happy,Leisure
105,34,166,166,354,Energetic,Leisure
118,44,142,48,319,Energetic,Leisure
140,40,17,149,416,Tired,Productive
77,21,189,100,400,Neutral,Leisure
171,81,74,15,301,Sad,Productive
136,4,7,14,376,Energetic,Productive
145,36,67,32,322,Tired,Productive
60,4,136,10,420,Sad,Leisure
12,35,209,127,456,Tired,Leisure
119,87,209,174,321,Sad,Leisure
20,83,209,80,388,Neutral,Leisure
13,3,32,107,342,Energetic,Leisure
24,65,144,153,354,Energetic,Leisure
56,88,25,97,365,Tired,Productive
79,9,139,176,396,Sad,Leisure
133,50,131,39,468,Tired,Productive
95,53,75,158,440,Tired,Leisure
125,1,100,133,436,Energetic,Leisure
21,67,37,21,444,Happy,Productive
164,47,163,41,439,Happy,Productive
83,36,124,143,393,Neutral,Leisure
34,78,105,155,469,Neutral,Leisure
82,4,141,10,415,Happy,Leisure
133,83,77,84,438,Tired,Productive
65,78,82,90,447,Sad,Leisure
58,33,171,18,362,Neutral,Leisure
121,7,24,159,345,Tired,Leisure
116,80,140,105,436,Tired,Leisure
165,84,237,95,462,Tired,Leisure
2,8,216,132,474,Sad,Leisure
27,37,83,64,403,Neutral,Leisure
59,74,69,45,362,Tired,Productive
33,67,165,83,315,Sad,Leisure
112,40,221,28,350,Energetic,Leisure
26,64,33,169,303,Energetic,Leisure
9,57,216,119,346,Energetic,Leisure
39,56,45,34,375,Tired,Productive
52,11,179,114,372,Sad,Leisure
90,63,133,155,308,Tired,Leisure
88,23,138,41,356,Sad,Leisure
61,53,92,143,368,Energetic,Leisure
169,69,198,158,428,Happy,Leisure
166,63,77,5,333,Sad,Productive
126,13,80,84,323,Tired,Leisure
139,69,4,166,408,Happy,Productive
130,38,129,180,433,Tired,Leisure
79,90,73,7,336,Energetic,Productive
123,47,174,87,313,Tired,Leisure
114,4,130,164,348,Energetic,Leisure
156,65,124,151,400,Tired,Leisure
81,80,192,149,398,Sad,Leisure
5,28,189,7,385,Happy,Leisure
80,20,186,74,452,Neutral,Leisure
47,88,94,10,305,Tired,Productive
142,86,64,71,432,Happy,Productive
100,73,136,44,306,Sad,Leisure
115,22,206,45,479,Sad,Leisure
16,30,151,74,457,Tired,Leisure
118,75,152,24,396,Tired,Productive
168,84,27,5,469,Neutral,Productive
57,27,239,136,361,Tired,Leisure
135,35,181,7,457,Happy,Leisure
16,6,67,0,441,Happy,Leisure
163,15,40,152,355,Sad,Leisure
175,39,197,23,429,Neutral,Leisure
146,81,120,18,407,Energetic,Productive
79,7,53,147,480,Energetic,Leisure
0,83,19,175,314,Tired,Leisure
103,0,19,50,473,Happy,Productive
